query,total_impressions,pos_gap,page_a,pos_a,impr_a,page_b,pos_b,impr_b
head of business development,1469,66.4,/blog/head-of-business-development-roles-responsibilities,7.8,1432,/blog/business-development-manager-roles-responsibilities,74.2,37
interpersonal skills vs intrapersonal skills,1089,56.5,/blog/interpersonal-vs-intrapersonal-skills,3.5,1080,/blog/personal-vs-interpersonal-skills,60,9
management skills,979,16.4,/blog/essential-manager-skills,62.9,713,/blog/it-manager-skills,79.3,266
training management system,782,19.5,/training-management-software,62.3,431,/blog/key-training-management-system-tms-features,81.8,351
jobs near me hiring,761,1.2,/blog/skills-in-demand-in-france,5.5,59,/blog/skills-in-demand-in-china,6.7,702
inter vs intra personal,660,45.5,/blog/interpersonal-vs-intrapersonal-skills,7.8,657,/blog/personal-vs-interpersonal-skills,53.3,3
ceo responsibilities,634,11.1,/blog/executive-director-roles-and-responsibilities,2,3,/blog/chief-executive-officer-roles-and-responsibilities,13.1,631
devops engineer,624,67.4,/blog/devops-engineers-skills,1,2,/blog/devops-engineer-roles-responsibilities,68.4,622
business analysts,616,5.3,/blog/business-analyst-roles-and-responsibilities,37.6,398,/blog/must-have-skills-for-business-analyst,42.9,218
interpersonal skills definition,591,43.0,/blog/interpersonal-vs-intrapersonal-skills,25.0,470,/blog/personal-vs-interpersonal-skills,68.0,121
interpersonal,547,6.5,/blog/interpersonal-vs-intrapersonal-skills,19.1,286,/blog/personal-vs-interpersonal-skills,25.6,261
employee engagement consultant,533,62.9,/blog/top-employee-engagement-consultants,10.5,460,/employee-engagement-consulting-services,73.4,73
skill gaps examples,488,48.4,/blog/common-skills-gap-examples,5.9,465,/blog/how-to-identify-skill-gaps,54.3,23
intrapersonal and interpersonal skills,469,78.4,/blog/interpersonal-vs-intrapersonal-skills,3.0,460,/blog/personal-vs-interpersonal-skills,81.4,9
employee engagement consulting,412,75.4,/blog/top-employee-engagement-consultants,9,333,/employee-engagement-consulting-services,84.4,79
corporate training materials,406,44.7,/blog/how-to-create-corporate-training-materials,14.3,405,/blog/corporate-training-companies-new-zealand,59,1
training needs analysis,382,5.8,/blog/levels-of-training-needs-analysis,45.2,4,/training-needs-analysis-solutions,51.0,378
manager skills,336,29.5,/blog/it-manager-skills,12.9,252,/blog/essential-manager-skills,42.4,84
hr manager,330,48.4,/blog/hr-manager-skills,4,1,/blog/hr-manager-roles-responsibilities,52.4,329
explain the difference between personal traits and interpersonal skills.,328,27.5,/blog/personal-vs-interpersonal-skills,5,326,/blog/interpersonal-vs-intrapersonal-skills,32.5,2
inter and intra personal skills,326,83.7,/blog/interpersonal-vs-intrapersonal-skills,3.3,325,/blog/personal-vs-interpersonal-skills,87,1
corporate sales training programs,307,29.0,/blog/sales-training-companies,1,15,/category/sales-training,30.0,292
leadership conference,306,37.2,/blog/leadership-conferences-in-australia,8.5,188,/blog/leadership-conferences,45.7,118
ceo roles and responsibilities,306,65.2,/blog/chief-executive-officer-roles-and-responsibilities,12.0,283,/blog/executive-director-roles-and-responsibilities,77.2,23
general manager responsibilities,303,54.6,/blog/general-manager-roles-responsibilities,18.8,268,/blog/managing-director-roles-responsibilities,73.4,35
intra vs interpersonal,295,76.2,/blog/interpersonal-vs-intrapersonal-skills,7.3,293,/blog/personal-vs-interpersonal-skills,83.5,2
business analyst skills,294,41.4,/blog/business-analyst-roles-and-responsibilities,1,2,/blog/must-have-skills-for-business-analyst,42.4,292
instructor led training solutions,294,11.3,/blog/instructor-led-training-activities,58.8,57,/instructor-led-training-services,70.1,237
data engineer,292,30.6,/blog/cloud-engineer-skills,1,1,/blog/data-engineer-roles-responsibilities,31.6,291
corporate training videos,287,31.4,/,17.7,3,/blog/must-watch-corporate-training-videos,49.1,284
customer service: soft skills fundamentals,285,52.7,/blog/soft-skills-for-customer-service,9.3,277,/corporate/soft-skills-training-for-customer-service-teams,62,8
difference between interpersonal and intrapersonal,280,70.6,/blog/interpersonal-vs-intrapersonal-skills,10.6,276,/blog/personal-vs-interpersonal-skills,81.2,4
intrapersonal vs interpersonal skills,262,65.9,/blog/interpersonal-vs-intrapersonal-skills,3.9,258,/blog/personal-vs-interpersonal-skills,69.8,4
skills of a manager,255,22.4,/blog/it-manager-skills,9.2,193,/blog/essential-manager-skills,31.6,62
employee engagement consultancy,252,81.5,/blog/top-employee-engagement-consultants,11,231,/employee-engagement-consulting-services,92.5,21
corporate training services market,252,28.4,/blog/corporate-training-companies-singapore,23.2,33,/blog/corporate-training-market-analysis,51.6,219
leadership conferences,251,31.8,/blog/leadership-conferences-in-australia,9.3,115,/blog/leadership-conferences,41.1,136
training topics for employees,249,27.8,/blog/professional-development-training-topics,14.2,216,/blog/trending-corporate-training-topics,42.0,33
employee training,246,22.3,/blog/employee-training-best-practices,54.5,242,/blog/what-is-employee-training-and-development,76.8,4
korea,244,1.5,/blog/skills-in-demand-in-south-korea,3.0,238,/blog/south-korea-work-culture,4.5,6
technology training for employees,244,21.1,/blog/role-of-modern-technology-in-employee-training,56.4,238,/type/it-technical-training,77.5,6
