query,total_impressions,total_clicks,pos_gap,page_a,pos_a,impr_a,page_b,pos_b,impr_b
ed-tech for soft skills training,622,0,0.6,/corporate/soft-skills-training-for-education-and-training-teams,6.7,301,/blog/soft-skills-training-companies,7.3,321
personal vs interpersonal,505,0,26.2,/blog/personal-vs-interpersonal-skills,2.8,502,/blog/interpersonal-vs-intrapersonal-skills,29,3
training and development,322,0,1.6,/blog/what-is-employee-training-and-development,1,1,/blog/four-phases-of-employee-development,2.6,321
interpersonal vs intrapersonal skills,275,0,30.8,/blog/interpersonal-vs-intrapersonal-skills,4,271,/blog/personal-vs-interpersonal-skills,34.8,4
personal and interpersonal communication,186,0,16.3,/blog/personal-vs-interpersonal-skills,6.7,184,/blog/interpersonal-vs-intrapersonal-skills,23,2
ceo responsibilities,184,0,8.9,/blog/executive-director-roles-and-responsibilities,2,3,/blog/chief-executive-officer-roles-and-responsibilities,10.9,181
interpersonal skills definition,179,0,55.6,/blog/interpersonal-vs-intrapersonal-skills,24.9,152,/blog/personal-vs-interpersonal-skills,80.5,27
skills matrix software,166,0,72.2,/skill-matrix,17.8,162,/blog/assess-employee-skills-with-skill-matrix,90,4
interpersonal vs personal,161,0,26.1,/blog/personal-vs-interpersonal-skills,2.9,160,/blog/interpersonal-vs-intrapersonal-skills,29,1
skill gaps examples,158,0,34.4,/blog/common-skills-gap-examples,6.6,157,/blog/how-to-identify-skill-gaps,41,1
management skills,154,0,25.6,/blog/essential-manager-skills,60.8,127,/blog/it-manager-skills,86.4,27
employee engagement consultant,151,0,56.2,/blog/top-employee-engagement-consultants,18.5,134,/employee-engagement-consulting-services,74.7,17
ai employee training companies italy,134,0,2.0,/blog/top-ai-training-companies,4.6,14,/blog/corporate-training-companies-italy,6.6,120
interpersonal,125,0,16.6,/blog/interpersonal-vs-intrapersonal-skills,16.7,81,/blog/personal-vs-interpersonal-skills,33.3,44
employee engagement consulting,115,0,76.2,/blog/top-employee-engagement-consultants,9,88,/employee-engagement-consulting-services,85.2,27
professional development topics,115,0,71.6,/blog/professional-development-training-topics,12.1,112,/blog/employee-development-ideas,83.7,3
what is interpersonal skills,109,0,29.5,/blog/interpersonal-vs-intrapersonal-skills,24.2,97,/blog/personal-vs-interpersonal-skills,53.7,12
korea,101,0,1.1,/blog/skills-in-demand-in-south-korea,2.9,99,/blog/south-korea-work-culture,4,2
technical skills,101,0,45.5,/blog/most-in-demand-skills-in-it,1,6,/blog/it-manager-skills,46.5,95
hr manager,99,0,45.4,/blog/hr-manager-skills,4,1,/blog/hr-manager-roles-responsibilities,49.4,98
leadership training,99,0,0.8,/blog/leadership-training-companies-netherlands,39.7,69,/blog/leadership-training-companies-australia,40.5,30
managed training services,95,0,14.4,/managed-training-services,28.1,82,/blog/corporate-training-companies-ireland,42.5,13
training management system,94,0,0.6,/blog/key-training-management-system-tms-features,76.0,71,/training-management-software,76.6,23
corporate sales training programs,93,0,27.1,/blog/sales-training-companies,1,11,/category/sales-training,28.1,82
ai training for companies,87,0,55.1,/blog/top-ai-training-companies,7.5,80,/category/artificial-intelligence-training,62.6,7
ceo roles and responsibilities,82,0,66.6,/blog/chief-executive-officer-roles-and-responsibilities,13.6,78,/blog/executive-director-roles-and-responsibilities,80.2,4
